"","xcoord","ycoord","bio01","bio04","bio05","bio06","bio12","bio15","topo01","cent"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",386239.502763667,6669228.58850118,-0.947827696800232,711.788513183594,13.25,-16.0539875030518,1610.04272460938,32.8314170837402,6,4300
"3",423859.120527514,6636348.06764684,-0.423892557621002,744.646545410156,14.4738712310791,-16.2499446868896,1085.12292480469,28.3354187011719,6,4300
"4",370879.658828189,6637448.08507202,0.130348384380341,696.009216308594,13.9553480148315,-14.8446521759033,2016.05346679688,32.8458442687988,7,4300
"5",416449.195816453,6688378.89185764,-1.14819347858429,745.356811523438,13.6319551467896,-16.8500003814697,908.0947265625,25.5340557098389,6,4300
"6",352879.841716301,6625087.88927641,1.94210982322693,673.765808105469,15.1182374954224,-12.6817626953125,2211.25439453125,33.0087089538574,6,4300
"7",371069.656897703,6710579.24352936,2.17869067192078,732.197570800781,16.3876800537109,-13.3281011581421,1548.71533203125,37.1044006347656,6,4300
"8",375039.616560714,6693118.96694431,2.45704412460327,749.298095703125,16.8622913360596,-13.4863185882568,1416.39477539062,35.112491607666,7,4300
"9",391979.444442681,6676128.69780455,-1.19364535808563,716.528198242188,13.1122741699219,-16.3877258300781,1515.98034667969,31.0823154449463,6,4300
"10",382059.545234351,6645198.2078403,-0.105167530477047,717.617065429688,14.0500001907349,-15.4499998092651,1566.22497558594,33.2462768554688,7,4300
"11",430439.053671749,6663098.49139543,-0.750432908535004,751.517028808594,14.2217788696289,-16.6499996185303,833.82666015625,24.3671264648438,8,4300
"12",348259.888657583,6634408.03691517,2.30484485626221,667.607299804688,15.3375616073608,-12.159460067749,2207.81909179688,33.7539901733398,7,4300
"13",397319.390185874,6738269.68216855,0.624279379844666,751.624267578125,15.2383394241333,-15.1612997055054,1098.95837402344,33.6491050720215,7,4300
"14",365939.709020815,6608507.6266315,1.52059352397919,694.987854003906,15.1393556594849,-13.7279472351074,2082.52075195312,35.7832183837891,6,4300
"15",315210.224460476,6606247.59083068,5.8191990852356,612.297424316406,17.0504589080811,-7.66825675964355,1996.85510253906,31.4139595031738,7,4300
"16",307490.302899155,6713199.28503296,6.21207571029663,626.544006347656,17.8064365386963,-7.17127275466919,2012.228515625,32.5419235229492,7,4300
"17",310330.274043475,6738039.6785251,4.44343328475952,609.8173828125,16.0605049133301,-8.62809467315674,2853.44458007812,32.2427825927734,7,4300
"18",322260.152829299,6704969.15466097,3.87670040130615,630.965454101562,16.0202445983887,-9.63343811035156,2785.10498046875,33.6946983337402,6,4300
"19",407779.28390756,6639138.11184343,-0.924755096435547,731.091247558594,13.7071914672852,-16.4893360137939,1248.40612792969,29.2401218414307,6,4300
"20",331520.058743526,6723339.4456614,3.27309322357178,656.28515625,15.952582359314,-10.75,2434.35424804688,33.4807090759277,6,4300
"21",336180.011395826,6606897.60112738,4.53251981735229,658.405639648438,17.0045604705811,-9.96151638031006,2199.14697265625,34.1916351318359,7,4300
"22",396319.400346325,6641158.14384238,-1.92759716510773,704.374877929688,12.3500003814697,-16.9500007629395,1565.81848144531,31.2750606536865,6,4300
"23",384559.519833224,6661858.4717525,-0.988374948501587,707.953552246094,13.1192998886108,-16.0806999206543,1661.15795898438,33.721508026123,6,4300
"24",397339.389982665,6700599.0854355,2.65208864212036,796.002136230469,17.7210597991943,-14.1692934036255,875.025817871094,29.9829120635986,7,4300
"25",428749.07084291,6661808.47096045,-0.667721807956696,752.053649902344,14.3137664794922,-16.5661964416504,816.473205566406,24.6793556213379,8,4300
"26",321000.165631467,6662818.48695993,6.04544115066528,653.870910644531,18.1325492858887,-7.94999980926514,1843.08728027344,30.5748119354248,5,4300
"27",379319.573073986,6625487.89561284,-0.301951169967651,701.357849121094,13.6578912734985,-15.4985151290894,1954.568359375,33.525146484375,7,4300
"28",407609.285634837,6708989.21834206,-0.64198225736618,747.488830566406,14.0485639572144,-16.3908615112305,1128.29760742188,30.3132915496826,6,4300
"29",313940.237364249,6702939.1225036,4.87699031829834,619.989196777344,16.6209182739258,-8.37875652313232,2248.4638671875,31.1835231781006,5,4300
"30",408659.274966364,6703649.13375076,-0.44281992316246,753.277770996094,14.3539733886719,-16.3056259155273,1030.81726074219,30.0904979705811,7,4300
"31",424149.117580983,6651238.30352036,-0.734546720981598,745.22509765625,14.1499996185303,-16.5499992370605,990.19189453125,27.1800899505615,7,4300
"32",357709.792641324,6694208.98421107,3.68141555786133,731.305419921875,17.6487445831299,-11.8691482543945,1675.28955078125,35.2278289794922,7,4300
"33",418359.176409993,6728929.53421297,-2.13364672660828,732.972229003906,12.5080194473267,-17.4209899902344,1034.32763671875,27.9908828735352,6,4300
"34",427619.08232422,6737359.66775318,-2.02059006690979,743.346130371094,12.7014198303223,-17.5690059661865,1004.00384521484,26.0640888214111,6,4300
"35",332590.047871844,6704299.14404745,2.78232932090759,645.298400878906,15.3454418182373,-10.9967164993286,2809.39404296875,33.2589378356934,7,4300
"36",347129.900138892,6730819.56415259,2.11327838897705,678.45263671875,15.3825817108154,-12.3096656799316,2550.80102539062,33.3368225097656,7,4300
"37",345029.921475838,6725379.47797718,4.28827619552612,713.510559082031,17.8162403106689,-10.9171600341797,1636.62915039062,31.9439182281494,7,4300
"38",414019.220506348,6710539.24289572,-2.8547945022583,713.613525390625,11.5500001907349,-17.7730140686035,1199.5478515625,27.671329498291,6,4300
"39",384519.520239642,6661768.47032681,-0.980241358280182,708.116516113281,13.1258068084717,-16.0741920471191,1661.54846191406,33.7400207519531,6,4300
"40",334470.028770197,6638038.09441825,2.7627375125885,629.56884765625,15.0149297714233,-10.8675355911255,2623.24658203125,32.2360038757324,6,4300
"41",420679.152837747,6726069.48890751,-2.39270639419556,729.493469238281,12.2039394378662,-17.6762351989746,1048.27819824219,27.0368766784668,6,4300
