"","AskeladdenID","Uncal.C14Age","C14SD","C14LabCode","xcoord","ycoord","meancalyear","cent","bio01","bio04","bio05","bio06","bio12","bio15","topo01","centrank","Suit"
"1",174995,3900,30,"Beta-477306",286880.2948,6698483.696,4336,4300,7.01460695266724,569.707397460938,17.490909576416,-5.19779634475708,1911.95983886719,30.6787414550781,"3",5711316,0.787964105606079
"3",172350,4660,90,"T-7641",285773.1117,6731748.197,5391,5400,6.86511468887329,597.408081054688,17.9090442657471,-5.84802198410034,1996.67578125,31.0909004211426,"3",9421213.5,0.718996644020081
"4",172763,6270,30,"Beta-366879",293577.6643,6611058.919,7212,7200,5.72443723678589,654.742370605469,17.0424327850342,-10.2191886901855,1757.30810546875,36.5613441467285,"6",27222276,0.109069548547268
"5",140583,7060,40,"Beta-286532",300677.7435,6713393.834,7888,7900,5.16347694396973,705.949829101562,17.8801097869873,-12.0078125,1909.10656738281,33.9389801025391,"5",11711908,0.481377452611923
"7",140596,4900,40,"Beta-286537",300820.9635,6713234.113,5634,5600,7.07379627227783,595.411560058594,18.1671104431152,-4.34999990463257,1945.32116699219,31.4629821777344,"5",13609057,0.665309607982635
"8",97667,4600,130,"T-3070",295751.3744,6717771.714,5275,5300,7.08996057510376,578.135131835938,18.3661918640137,-4.13380908966064,1974.32385253906,31.73557472229,"5",12659672.5,0.647579073905945
"9",114560,4885,120,"T-19501",281215.3847,6681938.287,5627,5600,7.83058643341064,544.694885253906,17.6871185302734,-2.54999995231628,1846.78393554688,30.883825302124,"3",3526708,0.892722845077515
"13",95765,5870,130,"T-5815",279966.2831,6704093.375,6689,6700,7.5208535194397,583.238952636719,18.3682594299316,-3.75,1793.9794921875,32.6593322753906,"3",2592906,0.89288055896759
"17",97666,5860,140,"T-3068",295838.5957,6717802.828,6678,6700,7.00936698913574,625.34423828125,18.7515506744385,-5.04844951629639,1894.98449707031,33.7467727661133,"5",11979016,0.691623747348785
"19",231135,4980,30,"Beta-477513",305895,6706210,5693,5700,6.82497215270996,617.655639648438,18.5833015441895,-5.34999990463257,1859.99438476562,31.4563961029053,"5",11344864,0.694323182106018
"20",90340,6920,70,"Beta-103191",313674.1826,6684763.168,7756,7800,4.07081317901611,758.50927734375,17.5926990509033,-15.9068050384521,1870.96752929688,34.7798347473145,"5",12639635.5,0.396927833557129
"21",90340,7985,105,"T-12984",313674.1826,6684763.168,8836,8800,3.07420134544373,781.377685546875,16.4926986694336,-17.9051990509033,1788.60363769531,36.1721954345703,"5",12632594.5,0.351842522621155
"22",172350,5210,180,"T-8070",285773.1117,6731748.197,5979,6000,8.62814903259277,513.085998535156,19.0090427398682,0.148700281977654,2022.49548339844,32.1846694946289,"3",9479973.5,0.872698128223419
"23",172350,4800,120,"T-7643",285773.1117,6731748.197,5518,5500,6.7769193649292,596.892456054688,18.070686340332,-6.28965663909912,2006.92163085938,31.6858348846436,"3",9536060.5,0.702642858028412
"24",172350,5170,100,"T-7644",285773.1117,6731748.197,5931,5900,8.59633159637451,528.527221679688,19.2706871032715,-0.548022270202637,1994.29223632812,32.2909622192383,"3",9491214,0.883621215820312
"25",111315,6750,150,"T-19308",272243.4166,6724200.894,7614,7600,6.50820684432983,623.887756347656,17.3093929290771,-8.35000038146973,1697.68505859375,31.3419589996338,"3",541971.5,0.857517540454865
"26",90340,8600,85,"T-12985",313674.1826,6684763.168,9595,9600,2.88688635826111,814.066162109375,16.5379981994629,-19.4051990509033,1808.66149902344,33.9735565185547,"5",12213752.5,0.326604694128036
"27",96502,4150,50,"Beta-93147",295680.8201,6627577.629,4688,4700,8.79736995697021,525.689453125,18.7540149688721,-0.6594597697258,1660.34130859375,31.55348777771,"2",1264973,0.973544895648956
"28",90573,4620,110,"T-3206",280686.0432,6614522.075,5320,5300,7.8742241859436,535.901489257812,17.7346477508545,-2.75,1572.0517578125,31.4084701538086,"4",17414262,0.499969273805618
"29",175024,8410,40,"Beta-368833",305092.0792,6703484.228,9447,9400,3.50696015357971,800.134826660156,16.9500007629395,-18.8500003814697,1839.11706542969,32.9076156616211,"5",11697107.5,0.363415539264679
"30",111315,6485,95,"T-19309",272243.4166,6724200.894,7384,7400,5.86732292175293,627.298400878906,16.8500003814697,-8.85000038146973,1695.87292480469,32.0385093688965,"3",437170,0.800242722034454
