"","meancalyear","prdens"
"1",11000,0.0407462140475637
"2",10999,0.041442766828506
"3",10998,0.042156943396987
"4",10997,0.0428876226906038
"5",10996,0.0436334461995989
"6",10995,0.0443928055867931
"7",10994,0.0449621543794125
"8",10993,0.0455352773949023
"9",10992,0.04611439830421
"10",10991,0.0466921203598711
"11",10990,0.0472700693263386
"12",10989,0.0475322359381307
"13",10988,0.0477945271795615
"14",10987,0.0480568313256746
"15",10986,0.0483190339589128
"16",10985,0.0485810180546544
"17",10984,0.0483725342936999
"18",10983,0.0481629710539363
"19",10982,0.0479524188247585
"20",10981,0.047740968256957
"21",10980,0.0475287100333266
"22",10979,0.0469450098456483
"23",10978,0.0463580644411925
"24",10977,0.0457762717179409
"25",10976,0.0451970405953094
"26",10975,0.0446215460395228
"27",10974,0.0438597690233843
"28",10973,0.0431131502124279
"29",10972,0.0423830212290947
"30",10971,0.0416704743272245
"31",10970,0.040976380252989
"32",10969,0.0403371242152271
"33",10968,0.0397143865682315
"34",10967,0.0391086395593234
"35",10966,0.038520217824676
"36",10965,0.0379493303047506
"37",10964,0.0375817672005515
"38",10963,0.0372215969163302
"39",10962,0.0368688726906903
"40",10961,0.0365236248508572
"41",10960,0.0361858623789349
"42",10959,0.0359710293952078
"43",10958,0.0357593866127762
"44",10957,0.0355509101110908
"45",10956,0.0353455738399642
"46",10955,0.0351433497228431
"47",10954,0.034920230868699
"48",10953,0.034701093516081
"49",10952,0.0344858623396156
"50",10951,0.0342744598646647
"51",10950,0.0340668065801393
"52",10949,0.0337440952894053
"53",10948,0.0334340546696182
"54",10947,0.0331294563842573
"55",10946,0.0328366961599311
"56",10945,0.0325522260169668
"57",10944,0.0323344876524176
"58",10943,0.0321215044019743
"59",10942,0.031913162505831
"60",10941,0.0317093440424396
"61",10940,0.0315099271864844
"62",10939,0.0315339038543269
"63",10938,0.031557940610575
"64",10937,0.0315820377124798
"65",10936,0.0316061954167442
"66",10935,0.0316304139795201
"67",10934,0.0316237906204801
"68",10933,0.0316175765085591
"69",10932,0.0316117609357874
"70",10931,0.031606333159295
"71",10930,0.031601282396897
"72",10929,0.0314514730692984
"73",10928,0.0313037228612305
"74",10927,0.0311578826954505
"75",10926,0.0310138052521027
"76",10925,0.030871345265566
"77",10924,0.0307243076517925
"78",10923,0.0305788568845935
"79",10922,0.0304348795792021
"80",10921,0.0302922638049136
"81",10920,0.0301508992361707
"82",10919,0.0300593423446941
"83",10918,0.029968723099574
